5.156.402,5.168.531,5.344.633,5.498.238,5.749.963,6.060.145,6.278.747,6.295.576,6.299.565,6.741.227,7.086.979,7.297.529,8.114.116,8165.25,9.182.316,9.224.067,9.427.083,9.560.505,9.565.208,9.591.046,10.075.703,10.197.547,10.283.771,11.738.804,13.804.314,clase
0.45,0,0,7.59,10.6,3.15,36.81,18.18,18.18,11.69,0,0,8.85,17.14,0,0.19,0.45,2.41,2.41,0,0.55,0,0,0,0,1
0,0,0,4.7,5.99,0,30.86,12.97,12.97,14.21,0,0,4.5,8.5,0,0,0,1.41,1.41,0.53,0,0,0,0,0,1
0,0,0,3.21,6.34,0.4,20.71,0,0,16.49,0,0,0,11.51,0,0,0,0.71,0.71,0.34,0,0,0,0.16,0,1
0.46,0,0,7.18,10.17,1.44,37.59,15.72,15.72,15.4,3.06,0,8.1,18.59,0,0.63,0.26,1.36,1.36,0,0.72,0,0,0,0,1
0,0,0,5.85,6.7,2.1,30.28,12.51,0,18.53,0,0,6.35,13.64,0,0,0,2.08,2.08,0,0,0.1,0,0,0,0
1.08,0,0,7.39,2.22,3.29,32.43,13.41,13.41,16.26,0,0,14.84,34.67,0,1.79,0,1.61,1.61,0.14,0.26,0,0,0.31,0,0
0,0,0,8.39,18.33,6.76,32.18,12.64,12.64,16.15,0,0,15.99,36.72,0,0,0.2,4.09,4.09,0,0.49,0,0,0.21,0,0
0,0,0,7.71,6.85,0.74,32.83,13.47,13.47,18.79,0,0,5.95,12.33,0,0,0,2.25,2.25,0,1.23,0.29,0,0,0,0
0,0,0,8.2,11.22,1.89,39.48,16.22,16.22,18.67,0,0,5.07,10.99,0,0,0,2.82,2.82,0,0,0,0,0.13,0,0
0,0,0,7.34,20.55,3.13,35.96,14.15,14.15,19.22,0,0,13.67,36.52,0,0,0,4.16,4.16,0,0.9,0,0,0.2,0,0
0,0,0,8.54,5.61,6.27,34.14,13.19,13.19,15.92,0,0,14.36,25.29,0,0,0,3.25,3.25,0,0,0.19,0,0,0.06,0
0,0,0,6.98,11.7,1.95,33.05,13.96,13.96,16.26,3.31,0,5.72,12.68,0,0,0.41,2.18,2.18,0.55,0.41,0,0,0.18,0,1
0,0,0,10.05,27.32,3.03,47.5,20.29,20.29,19.33,3.61,0,17.57,37.11,0,0,0,4.4,4.4,1.23,0,0.13,0,0.1,0,1
1.27,0,0,3.1,0.96,1.01,15.46,7.65,0,20.98,0,0,4.67,8.04,0,0,0.13,0.78,0.78,0,0.74,0,0,0,0.07,0
0,0,0,17.7,9.98,3.06,51.08,21.95,21.95,16.88,0,0,15.77,30.22,0.79,0,0,4.16,4.16,0,0.31,0.22,0,0,0.21,0
0,0,0,10.12,15.56,2.32,38.79,15.3,15.3,20.07,0,0,12.03,26.39,0,0,0,4.09,4.09,0,0.6,0,0,0,0.06,0
0,0,0,12.92,12.89,1.76,50.61,20.36,20.36,20.01,0,0,11.07,26.27,0,0,0,4.03,4.03,0.76,0.6,0,0,0,0,0
0.66,0,0,8.86,9.24,0,37.54,16.28,16.28,19.02,0,0,10.92,22.82,0,0,0,2.97,2.97,0.75,0.82,0,0,0,0,0
0,0,0,12.05,17.22,5.86,48.88,0,0,17.48,2.48,0,21.21,44.04,0,0,0,5.97,5.97,0,0.43,0,0,0,0,0
0,0,0,11.67,7.67,0,45.96,18.31,18.31,16.78,0,0,7.12,14.84,0,0.26,0,2.69,2.69,0,0,0,0,0.1,0,1
1.46,0,0,3.8,2.02,1.41,17.8,7.54,7.54,17.79,0,0,7.06,13.77,0,0,0,1.17,1.17,0,0.85,0.32,0,0,0,1
0,0.86,0,5.49,3.22,2.16,24.34,9.96,9.96,22.79,0,0,8.17,19.54,0,0,0,2.07,2.07,0,1.22,0,0,0.07,0,1
5.254,0,6.364,0,0,20.05,0,0,0,9.35,0,9.302,0,100,0.321,0,0,0,0,0,2.201,1.632,0,0,0,0
3.113,0,5.612,0,0,10.624,0,0,0,0,3.994,8.652,0,100,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,5.891,0,0,0,4.857,2.545,1.546,0,100,0,0,0,0,0,0,0,0.73,0.592,0,0,1
0,0,2.146,0,0,6.158,0,0,0,5.422,0,2.591,0,100,0,0,0,0,0,0,0,1.103,0,0,0,1
0,0,2.085,0,0,0,0,0,0,0,9.023,0,0,74.685,0,0,0,0,0,0,1.22,0,0,0,0,1
0,0,1.943,0,0,33.198,0,0,0,5.307,0,15.284,0,100,0,0,0,0,0,0,0,0,0,0.539,0,1
0,0.879,0,0,0,10.468,0,0,0,7.095,5.533,4.942,0,100,0,0,0,0,0,0,0.539,0.55,0,0,0,0
0,0.315,0,0,0.734,9.283,0,0,0,6.017,5.581,4.959,0,100,0,0,0,0,0.26,0,0.685,0.614,0.587,0,0,0
0.862,1.409,0,0,0,6.097,0,0,0,0,6.614,4.684,0,100,0,0,0,0,0,0,0.602,0,0.406,0,0,0
0,0,0,0,0,4.828,0.256,0,0,7.167,6.122,3.317,0,100,0,0,0,0,0,0,0,0,0.72,0,0,0
0,0,1.211,0,0,12.135,0,0.879,0,0,4.64,1.099,0,100,0,0,0,0,0,0,1.598,1.027,0,0,0,1
0,0,0.467,0,0,9.634,0,0,0,4.395,0,0.847,0,100,0,0,0,0,0,0,1.716,1.134,0.927,0,0,0
0,0,0,0,0,7.772,0,0.437,0,4.639,3.014,1.427,0,100,0,0,0,0,0,0,0,0,0.261,0,0,1
2.573,3.94,4.698,0,0,1.443,0,0,0,0,3.211,0,0,48.147,0.194,0,0,0,0,0,0,0,0.315,0,0,1
1.715,0,0,0,0,18,0,0.807,0,0,4.779,13.964,0,100,0,0,0,0,0,0,2.659,0,0,0,0,1
1.199,0,1.961,0,0,14.738,0,0,0,5.285,4.77,7.759,0,100,0,0,0,0,0,0,0,1.22,0,0,0,0
0,0,0.484,0,0,8.717,0,0,0,5.013,2.834,4.262,0,100,0,0,0,0,0,0,0,1.074,0,0,0,0
0,0,3.807,0,0,15.674,0,0,0,0,4.7,11.769,0,100,0,0,0,0,0,0,0,1.419,1.039,0,0,0
3.334,0,5.656,0,0,21.159,0,0,0,0,5.357,19.882,0,100,0,0,0,0,0,0,1.797,0,1.004,0.712,0,0
0.384,0,0,0,0,4.888,0,0,0,8.765,7.865,5.444,0,100,0,0,0,0,0,0,0,0.718,0,0,0,0
0,0,0,0,0,12.313,0.419,0,0,5.478,0,7.707,36.365,100,0,0,0,0,0,0,1.141,1.116,0,0,0,1
1.721,0,3.35,0,0,6.2,0,0,0,0,1.141,0,0,51.866,0.304,0,0,0,0,0,0,0.547,0,0.157,0,1
0,0,0,0,0,2.658,0,0.363,0,6.197,5.689,3.173,0,100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.212,0,0,8.555,0,0,0,0,7.834,1.317,0,100,0,0,0,0,0,0,0,0,0,0,0,1
